Company Name,Website,Industry,City,Country,Employees,Annual Revenue,Year Founded,Owner,Title,Email,Phone,LinkedIn,Source List
BARRETT & DELGADO,,Real Estate Brokerage,Cleveland,United States,,,2009,Thomas Lindqvist,Managing Director,,(789) 725-5924,,chamber_export
Harbor HVAC Inc.,https://www.harborhvac.com,HVAC,Charlotte,United States,22 employees,3.51 million,2001,Nancy Ivers,Managing Director,nivers@harborhvac.com,(627) 835-4021,,trade_assoc
Riverside Auto Inc.,riversideauto.com,Auto Repair,Nashville,United States,18 employees,"$4,178,970",,David Muldoon,Operations Manager,info@riversideauto.com,(525) 425-1984,linkedin.com/company/riversideauto,chamber_export
Bhatti & Delgado Inc.,bhattidelgado.com,Event Planning,Kansas City,United States,335-345,$48.0M,2013,Anne Bhatti,,contact@bhattidelgado,,,directory_q3
Ivers Dental Ltd,www.iversdental.com,Dental Practice,Phoenix,United States,45,8.49 million,,David Ivers,VP Operations,contact@iversdental,+16745750067,,directory_q3
Denver Real Services Ltd,https://www.denverreal.com,Real Estate Brokerage,Denver,United States,4,"$653,616",,David Ivers,Managing Director,info@denverreal.com,(630) 716-5223,,chamber_export
Toronto Roofing Works Inc.,torontoroofing.com,Roofing,Toronto,Canada,60 employees,6797880,1996,Hector Vasquez,Managing Director,hector@torontoroofing.com,,,trade_assoc
Stanek Real Co.,stanekreal.com,Real Estate Brokerage,Houston,United States,31,6708524,2017,,VP Operations,info@stanekreal.com,,,chamber_export
Stanek Metal LLC,www.stanekmetal.com,Metal Fabrication,Kansas City,United States,1-9,"602,552",,,Operations Manager,info@stanekmetal.com,+18293223154,,chamber_export
Nashville Precision Industries,www.nashvilleprecision.com,Precision Machining,Nashville,United States,85,,1972,Frank Ngo,VP Operations,frank.ngo@gmail.com,(923) 715-5311,,trade_assoc
Castellanos & Marchetti Ltd,www.castellanosmarchetti.com,Staffing & Recruiting,Milwaukee,United States,,"$5,448,364",2004,Kevin Castellanos,Owner,contact@castellanosmarchetti,(411) 483-7175,,chamber_export
Marchetti & Bhatti Co.,marchettibhatti.com,Digital Marketing Agency,Portland,United States,8 employees,1340328,,Sharon Marchetti,Office Manager,info@marchettibhatti.com,,,chamber_export
Riverside Pest Inc.,https://www.riversidepest.com,Pest Control,Houston,United States,45 employees,6831360,2009,,,ahalloran@riversidepest.com,(842) 308-2766,linkedin.com/company/riversidepest,chamber_export
Milwaukee Dental Group LLC,www.milwaukeedental.com,Dental Practice,Milwaukee,United States,335-345,65.34 million,2017,Walter Nakamura,President,wnakamura@milwaukeedental.com,+14739838207,linkedin.com/company/milwaukeedental,chamber_export
Granite Pest Inc.,http://granitepest.com,Pest Control,Raleigh,United States,190 employees,36718830,,Susan Coyle,Operations Manager,info@granitepest.com,+16952586509,,chamber_export
Ashworth & Toussaint LLC,http://ashworthtoussaint.com,Real Estate Brokerage,Houston,United States,60,9251160,1984,,General Manager,nmarchetti@ashworthtoussaint.com,(289) 995-4156,linkedin.com/company/ashworthtoussaint,trade_assoc
Renner & Delgado Inc.,http://rennerdelgado.com,Auto Repair,Raleigh,United States,185-195,40.61 million,2013,Walter Renner,,wrenner@rennerdelgado.com,(638) 847-3245,linkedin.com/company/rennerdelgado,directory_q3
Manchester Third Partners Ltd,manchesterthird.com,Third Party Logistics,Manchester,United Kingdom,85,14911465,,Robert Ivers,,robert.ivers@gmail.com,(701) 670-3502,,trade_assoc
Vasquez & Castellanos Inc,http://vasquezcastellanos.com,Commercial Janitorial,Dallas,United States,8,1.37 million,2013,Linda Vasquez,Owner,linda@vasquezcastellanos.com,,linkedin.com/company/vasquezcastellanos,chamber_export
Stanek & Toussaint LLC,www.stanektoussaint.com,Digital Marketing Agency,Phoenix,United States,3-13,"891,192",2017,Robert Toussaint,Founder,info@stanektoussaint.com,(668) 742-6768,,directory_q3
Riverside Plumbing Inc.,riversideplumbing.com,Plumbing,Charlotte,United States,120 employees,$20.3M,2001,Patricia Muldoon,Operations Manager,info@riversideplumbing.com,+16784409578,,directory_q3
Milwaukee Veterinary & Sons Inc.,milwaukeeveterinary.com,Veterinary Services,Milwaukee,United States,8 employees,,,Hector Delgado,,hdelgado@milwaukeeveterinary.com,(468) 733-6080,linkedin.com/company/milwaukeeveterinary,directory_q3
Marchetti & Pruitt Inc,http://marchettipruitt.com,Dental Practice,Cleveland,United States,18 employees,$2.0M,1972,Dennis Marchetti,President,info@marchettipruitt.com,,,trade_assoc
Nakamura Veterinary Co.,https://www.nakamuraveterinary.com,Veterinary Services,Sacramento,United States,26 employees,"2,533,180",1972,,General Manager,info@nakamuraveterinary.com,(760) 364-9008,,directory_q3
Stanek & Okonkwo,stanekokonkwo.com,Waste Management,Columbus,United States,55-65,"$8,900,880",2013,Robert Stanek,Founder,info@stanekokonkwo.com,(592) 637-9150,,directory_q3
Denver Veterinary Company Inc,https://www.denverveterinary.com,Veterinary Services,Denver,United States,26,5.11 million,,Maria Lindqvist,VP Operations,maria.lindqvist@gmail.com,,linkedin.com/company/denverveterinary,directory_q3
Silverline Veterinary,www.silverlineveterinary.com,Veterinary Services,Kansas City,United States,45 employees,,1972,David Ngo,President,david@silverlineveterinary.com,(405) 206-1023,linkedin.com/company/silverlineveterinary,directory_q3
Okonkwo Metal LLC,https://www.okonkwometal.com,Metal Fabrication,Dallas,United States,18,2.81 million,2013,Donna Ngo,Operations Manager,info@okonkwometal.com,+17066769387,,trade_assoc
Sacramento Event Systems Co.,sacramentoevent.com,Event Planning,Sacramento,United States,31,"6,650,895",1991,Hector Marchetti,,hmarchetti@sacramentoevent.com,+17120943078,linkedin.com/company/sacramentoevent,trade_assoc
Marchetti Veterinary LLC,marchettiveterinary.com,Veterinary Services,Dallas,United States,45 employees,4110885,2004,David Okonkwo,,dokonkwo@marchettiveterinary.com,,,trade_assoc
Ivers Commercial LLC,http://iverscommercial.com,Commercial Janitorial,Milwaukee,United States,,$1.8M,1984,Frank Ivers,VP Operations,frank.ivers@gmail.com,(783) 524-1417,,trade_assoc
Stanek Staffing Inc.,http://stanekstaffing.com,Staffing & Recruiting,Sacramento,United States,17-27,"$5,155,832",1972,,VP Operations,rstanek@stanekstaffing.com,+13305677649,linkedin.com/company/stanekstaffing,chamber_export
Houston Waste Systems Inc.,www.houstonwaste.com,Waste Management,Houston,United States,12 employees,$1.4M,1984,Linda Okonkwo,General Manager,contact@houstonwaste,+17264859166,,trade_assoc
RIVERSIDE AUTO,riversideauto.com,Auto Repair,Nashville,United States,,"$4,178,970",,David Muldoon,Operations Manager,,(525) 425-1984,linkedin.com/company/riversideauto,chamber_export
Cardinal Plumbing Co.,https://www.cardinalplumbing.com,Plumbing,Denver,United States,13-23,2227158,2021,David Coyle,Founder,info@cardinalplumbing.com,(985) 350-3839,,directory_q3
Bhatti Landscaping LLC,bhattilandscaping.com,Landscaping,Kansas City,United States,80-90,"$14,233,590",2001,David Coyle,Managing Director,david@bhattilandscaping.com,(657) 991-3217,,directory_q3
Milwaukee Staffing Partners,www.milwaukeestaffing.com,Staffing & Recruiting,Milwaukee,United States,22 employees,,2017,Walter Whitfield,Owner,info@milwaukeestaffing.com,+15288873276,,trade_assoc
Ironwood Accounting Ltd,http://ironwoodaccounting.com,Accounting Services,Columbus,United States,4 employees,"$931,884",2009,Susan Barrett,Managing Director,info@ironwoodaccounting.com,,linkedin.com/company/ironwoodaccounting,chamber_export
Ashworth Software LLC,ashworthsoftware.com,Software Consulting,Raleigh,United States,60,10.90 million,2009,Thomas Ashworth,Managing Director,info@ashworthsoftware.com,(907) 272-3010,,directory_q3
Barrett Precision Ltd,www.barrettprecision.com,Precision Machining,Orlando,United States,22 employees,,2021,,General Manager,mbarrett@barrettprecision.com,+12026579078,linkedin.com/company/barrettprecision,trade_assoc
Indianapolis Roofing Solutions Inc.,www.indianapolisroofing.com,Roofing,Indianapolis,United States,,1360152,2021,Raymond Kellerman,President,raymond@indianapolisroofing.com,+13954045851,linkedin.com/company/indianapolisroofing,chamber_export
Renner Waste Co.,www.rennerwaste.com,Waste Management,Nashville,United States,8,1.47 million,,Gloria Renner,Operations Manager,info@rennerwaste.com,+15441409817,linkedin.com/company/rennerwaste,chamber_export
Silverline Landscaping,https://www.silverlinelandscaping.com,Landscaping,Tampa,United States,26 employees,,,Ruth Whitfield,Managing Director,info@silverlinelandscaping.com,+15538883641,linkedin.com/company/silverlinelandscaping,trade_assoc
Cardinal Real Co.,cardinalreal.com,Real Estate Brokerage,Tampa,United States,31 employees,$7.0M,2004,Linda Nakamura,Office Manager,info@cardinalreal.com,+12873228525,linkedin.com/company/cardinalreal,directory_q3
Granite Third LLC,http://granitethird.com,Third Party Logistics,Cleveland,United States,45 employees,,,Susan Okonkwo,Office Manager,sokonkwo@granitethird.com,(425) 467-7161,,directory_q3
Ngo Roofing Co.,ngoroofing.com,Roofing,Columbus,United States,80-90,$12.9M,1991,Sharon Ngo,Owner,contact@ngoroofing,(803) 216-5489,linkedin.com/company/ngoroofing,directory_q3
Riverside Third LLC,riversidethird.com,Third Party Logistics,Phoenix,United States,18,2989746,2021,David Ashworth,Founder,dashworth@riversidethird.com,+13014614115,,chamber_export
Phoenix Dental & Sons Co.,phoenixdental.com,Dental Practice,Phoenix,United States,12 employees,,1996,David Castellanos,President,dcastellanos@phoenixdental.com,,,chamber_export
Indianapolis Accounting Company,http://indianapolisaccounting.com,Accounting Services,Indianapolis,United States,22,4.48 million,2021,Nancy Muldoon,Operations Manager,nmuldoon@indianapolisaccounting.com,+12341316642,,trade_assoc
Kellerman & Whitfield LLC,https://www.kellermanwhitfield.com,Plumbing,Portland,United States,4,0.92 million,2004,Maria Kellerman,Founder,info@kellermanwhitfield.com,(945) 668-5116,linkedin.com/company/kellermanwhitfield,directory_q3
Ferraro & Bhatti Ltd,https://www.ferrarobhatti.com,Third Party Logistics,Phoenix,United States,12 employees,"$2,310,888",1991,David Ferraro,Operations Manager,david.ferraro@gmail.com,+14037204363,,trade_assoc
Harbor Event Inc,http://harborevent.com,Event Planning,Toronto,Canada,12,,,Linda Toussaint,,info@harborevent.com,,linkedin.com/company/harborevent,chamber_export
Houston Dental Group,,Dental Practice,Houston,United States,,$0.9M,1972,Anne Ferraro,General Manager,,+18988924996,,chamber_export
Toussaint & Renner Inc.,www.toussaintrenner.com,Software Consulting,Nashville,United States,38 employees,8539816,2021,Nancy Castellanos,Founder,ncastellanos@toussaintrenner.com,(966) 346-7828,,chamber_export
Sacramento Event Group Inc,https://www.sacramentoevent.com,Event Planning,Sacramento,United States,13-23,$4.2M,1984,James Coyle,VP Operations,jcoyle@sacramentoevent.com,+17555465544,linkedin.com/company/sacramentoevent,directory_q3
Coyle Electrical,https://www.coyleelectrical.com,Electrical Contracting,Kansas City,United States,13-23,2.80 million,2017,,President,gcoyle@coyleelectrical.com,+15077344425,linkedin.com/company/coyleelectrical,chamber_export
Cleveland Accounting Services,www.clevelandaccounting.com,Accounting Services,Cleveland,United States,33-43,$4.9M,,Anne Castellanos,Founder,,+19704105695,linkedin.com/company/clevelandaccounting,trade_assoc
Portland Pest & Sons LLC,http://portlandpest.com,Pest Control,Portland,United States,60 employees,,2017,Thomas Bhatti,General Manager,contact@portlandpest,(482) 312-9162,linkedin.com/company/portlandpest,trade_assoc
Harbor Metal Inc.,https://www.harbormetal.com,Metal Fabrication,Indianapolis,United States,8 employees,1445376,,Dennis Delgado,Founder,contact@harbormetal,+17870878587,,chamber_export
Kansas City Plumbing Group Inc,https://www.kansascity.com,Plumbing,Kansas City,United States,85,,2009,Frank Muldoon,General Manager,frank@kansascity.com,(837) 844-6257,,directory_q3
Barrett & Delgado LLC,barrettdelgado.com,Real Estate Brokerage,Cleveland,United States,190,,2009,Thomas Lindqvist,Managing Director,tlindqvist@barrettdelgado.com,(789) 725-5924,,chamber_export
Renner Digital Inc,www.rennerdigital.com,Digital Marketing Agency,Nashville,United States,45 employees,,2004,Donna Renner,Office Manager,drenner@rennerdigital.com,,,trade_assoc
Ivers Third LLC,iversthird.com,Third Party Logistics,Houston,United States,33-43,8.50 million,1996,Frank Ivers,,info@iversthird.com,,,directory_q3
Nakamura Auto,www.nakamuraauto.com,Auto Repair,Phoenix,United States,335-345,"$54,584,960",,Dennis Nakamura,VP Operations,dennis.nakamura@gmail.com,+15368143484,,trade_assoc
Marchetti Staffing Ltd,www.marchettistaffing.com,Staffing & Recruiting,Toronto,Canada,85,18.20 million,2004,Ruth Marchetti,Owner,rmarchetti@marchettistaffing.com,+18761287704,,trade_assoc
Harbor HVAC Inc,https://www.harborhvac.com,HVAC,Orlando,United States,26 employees,,2004,Dennis Ngo,,dennis@harborhvac.com,(661) 267-8058,,directory_q3
RALEIGH HVAC SYSTEMS CO.,http://raleighhvac.com,HVAC,Raleigh,United States,,4.26 million,,Donna Bhatti,Office Manager,,,linkedin.com/company/raleighhvac,chamber_export
Renner & Pruitt Co.,http://rennerpruitt.com,Precision Machining,Portland,United States,40-50,"$5,219,820",2009,,Founder,wmarchetti@rennerpruitt.com,+14556820354,linkedin.com/company/rennerpruitt,chamber_export
Bhatti Electrical Ltd,http://bhattielectrical.com,Electrical Contracting,Cleveland,United States,1-9,382764,1991,,Operations Manager,anne.bhatti@gmail.com,(412) 577-8459,linkedin.com/company/bhattielectrical,trade_assoc
Kellerman & Muldoon Co.,http://kellermanmuldoon.com,Staffing & Recruiting,Charlotte,United States,8 employees,,1972,Anne Ivers,Owner,anne@kellermanmuldoon.com,,linkedin.com/company/kellermanmuldoon,directory_q3
Ironwood Auto Inc.,https://www.ironwoodauto.com,Auto Repair,Tampa,United States,31 employees,5855621,2013,Maria Marchetti,Owner,info@ironwoodauto.com,+16780724812,,chamber_export
Halloran & Nakamura Inc.,http://hallorannakamura.com,Pest Control,Nashville,United States,4 employees,"765,508",2001,Donna Halloran,President,donna.halloran@gmail.com,(913) 868-8063,linkedin.com/company/hallorannakamura,trade_assoc
Silverline Plumbing Co.,www.silverlineplumbing.com,Plumbing,Indianapolis,United States,60,$10.6M,,James Ashworth,Founder,jashworth@silverlineplumbing.com,+13168970678,linkedin.com/company/silverlineplumbing,directory_q3
Granite Roofing Inc.,https://www.graniteroofing.com,Roofing,Dallas,United States,,360276,2001,James Ngo,Operations Manager,jngo@graniteroofing.com,(618) 584-8165,,chamber_export
Kellerman Dental LLC,https://www.kellermandental.com,Dental Practice,Austin,United States,26-36,"6,443,505",2017,Gloria Kellerman,Founder,gkellerman@kellermandental.com,,,trade_assoc
Renner & Ashworth Ltd,www.rennerashworth.com,Precision Machining,Austin,United States,85 employees,"8,591,715",1984,Nancy Renner,General Manager,nrenner@rennerashworth.com,(731) 919-6413,linkedin.com/company/rennerashworth,trade_assoc
Phoenix Event Company Ltd,http://phoenixevent.com,Event Planning,Phoenix,United States,7-17,"$2,530,068",,Miguel Whitfield,General Manager,,(523) 487-1558,linkedin.com/company/phoenixevent,directory_q3
Dallas Staffing Company,dallasstaffing.com,Staffing & Recruiting,Dallas,United States,18 employees,1.62 million,2013,Sharon Stanek,Founder,sstanek@dallasstaffing.com,(438) 629-6997,linkedin.com/company/dallasstaffing,directory_q3
Indianapolis Real Industries Inc,indianapolisreal.com,Real Estate Brokerage,Indianapolis,United States,7-17,2.38 million,2017,Maria Kellerman,Managing Director,mkellerman@indianapolisreal.com,(563) 823-6653,,chamber_export
Halloran Auto Inc.,http://halloranauto.com,Auto Repair,Columbus,United States,1-9,$0.4M,,Gloria Halloran,VP Operations,ghalloran@halloranauto.com,(458) 557-9286,,trade_assoc
Pruitt Real Inc.,https://www.pruittreal.com,Real Estate Brokerage,Phoenix,United States,120,11335320,2009,Anne Pruitt,Office Manager,anne.pruitt@gmail.com,,linkedin.com/company/pruittreal,directory_q3
Cardinal HVAC Co.,https://www.cardinalhvac.com,HVAC,Nashville,United States,40-50,$8.2M,,Donna Whitfield,Office Manager,donna@cardinalhvac.com,(626) 775-8909,,chamber_export
Dallas Metal Contractors LLC,dallasmetal.com,Metal Fabrication,Dallas,United States,60 employees,9.80 million,,Maria Ashworth,Owner,maria@dallasmetal.com,+17452329623,,directory_q3
Charlotte Roofing Systems Co.,http://charlotteroofing.com,Roofing,Charlotte,United States,13-23,$3.2M,2009,Walter Whitfield,Managing Director,walter.whitfield@gmail.com,(389) 526-8209,linkedin.com/company/charlotteroofing,trade_assoc
Okonkwo & Ivers Inc.,https://www.okonkwoivers.com,Staffing & Recruiting,Kansas City,United States,4 employees,,2009,Susan Lindqvist,President,susan.lindqvist@gmail.com,+13217647691,,directory_q3
Silverline Veterinary,,Veterinary Services,Kansas City,United States,,,1972,David Ngo,President,,(405) 206-1023,linkedin.com/company/silverlineveterinary,chamber_export
Nakamura & Ashworth Ltd,https://www.nakamuraashworth.com,Real Estate Brokerage,Sacramento,United States,26,5039372,1996,Patricia Nakamura,VP Operations,pnakamura@nakamuraashworth.com,+18112759833,,trade_assoc
Stanek Metal Inc.,https://www.stanekmetal.com,Metal Fabrication,Denver,United States,190,26.18 million,2004,David Okonkwo,President,,,,directory_q3
Delgado Dental Inc,delgadodental.com,Dental Practice,Tucson,United States,18,"$4,212,144",2009,,Owner,ruth@delgadodental.com,+14056374903,,directory_q3
Lindqvist Real,http://lindqvistreal.com,Real Estate Brokerage,Raleigh,United States,18,$2.4M,,Hector Whitfield,Owner,,+13489856359,linkedin.com/company/lindqvistreal,directory_q3
Manchester Real Solutions Ltd,https://www.manchesterreal.com,Real Estate Brokerage,Manchester,United Kingdom,31 employees,"4,010,253",,,Managing Director,info@manchesterreal.com,+17815255884,,trade_assoc
Dallas Staffing Services,dallasstaffing.com,Staffing & Recruiting,Dallas,United States,17-27,2.82 million,2001,Miguel Ferraro,Managing Director,miguel.ferraro@gmail.com,(714) 306-7009,linkedin.com/company/dallasstaffing,directory_q3
Indianapolis Software Works Inc,https://www.indianapolissoftware.com,Software Consulting,Indianapolis,United States,,"9,071,820",2017,Kevin Ferraro,President,kevin@indianapolissoftware.com,+16862957452,linkedin.com/company/indianapolissoftware,trade_assoc
Marchetti & Whitfield LLC,http://marchettiwhitfield.com,Landscaping,Indianapolis,United States,120 employees,"$10,889,880",,Anne Okonkwo,VP Operations,aokonkwo@marchettiwhitfield.com,(777) 282-4719,,directory_q3
Dallas Precision Solutions Co.,http://dallasprecision.com,Precision Machining,Dallas,United States,45 employees,$4.1M,1991,,,nancy@dallasprecision.com,(284) 733-9304,linkedin.com/company/dallasprecision,chamber_export
SUMMIT METAL,summitmetal.com,Metal Fabrication,Dallas,United States,,,2009,,General Manager,,,,chamber_export
Barrett & Castellanos Co.,http://barrettcastellanos.com,Third Party Logistics,Tucson,United States,,,2001,David Barrett,General Manager,dbarrett@barrettcastellanos.com,+19599124026,,directory_q3
Toussaint & Delgado Co.,https://www.toussaintdelgado.com,Staffing & Recruiting,Houston,United States,31 employees,"$4,163,424",2017,Raymond Toussaint,VP Operations,contact@toussaintdelgado,+18925466592,linkedin.com/company/toussaintdelgado,trade_assoc
Ashworth HVAC Inc,https://www.ashworthhvac.com,HVAC,Indianapolis,United States,8,1502288,2004,David Ashworth,Owner,info@ashworthhvac.com,+14752917350,linkedin.com/company/ashworthhvac,trade_assoc
Kellerman HVAC,https://www.kellermanhvac.com,HVAC,Columbus,United States,31 employees,$4.7M,,Anne Kellerman,Managing Director,akellerman@kellermanhvac.com,(290) 910-9761,linkedin.com/company/kellermanhvac,directory_q3
Austin Third & Sons Inc,austinthird.com,Third Party Logistics,Austin,United States,,"663,852",1996,Donna Ashworth,Office Manager,info@austinthird.com,+16295981949,linkedin.com/company/austinthird,chamber_export
Toronto Electrical Industries,https://www.torontoelectrical.com,Electrical Contracting,Toronto,Canada,12 employees,2.06 million,1996,Sharon Ngo,Operations Manager,sharon@torontoelectrical.com,,,directory_q3
Houston Auto Solutions Inc.,www.houstonauto.com,Auto Repair,Houston,United States,4 employees,"$658,252",2004,Ruth Barrett,Managing Director,info@houstonauto.com,(243) 714-8795,linkedin.com/company/houstonauto,trade_assoc
Nakamura & Whitfield LLC,www.nakamurawhitfield.com,HVAC,Austin,United States,7-17,1.16 million,,Raymond Ivers,Office Manager,raymond@nakamurawhitfield.com,(884) 953-3899,,trade_assoc
Ironwood Accounting Inc,ironwoodaccounting.com,Accounting Services,Dallas,United States,340,48608100,2013,Gloria Ivers,Office Manager,gloria.ivers@gmail.com,(907) 524-3578,,directory_q3
Milwaukee Veterinary Services Inc,www.milwaukeeveterinary.com,Veterinary Services,Milwaukee,United States,85 employees,19.51 million,2004,Carol Halloran,President,,+12598487173,,trade_assoc
Denver Staffing & Sons Co.,denverstaffing.com,Staffing & Recruiting,Denver,United States,31 employees,"$7,017,501",2001,David Toussaint,Office Manager,,,,chamber_export
Kellerman Digital,https://www.kellermandigital.com,Digital Marketing Agency,Kansas City,United States,,$23.7M,2013,Kevin Barrett,Operations Manager,kbarrett@kellermandigital.com,(492) 893-7986,,trade_assoc
Riverside Software LLC,https://www.riversidesoftware.com,Software Consulting,Columbus,United States,190,,,James Vasquez,President,jvasquez@riversidesoftware.com,(231) 755-5597,,trade_assoc
Whitfield & Vasquez Inc,www.whitfieldvasquez.com,Pest Control,Orlando,United States,31,$2.8M,1984,Ruth Whitfield,Owner,contact@whitfieldvasquez,(680) 666-3602,,trade_assoc
Milwaukee Electrical Partners Co.,https://www.milwaukeeelectrical.com,Electrical Contracting,Milwaukee,United States,60 employees,"6,718,320",,Raymond Castellanos,Founder,raymond@milwaukeeelectrical.com,+14052603472,linkedin.com/company/milwaukeeelectrical,chamber_export
Pruitt Digital,https://www.pruittdigital.com,Digital Marketing Agency,Kansas City,United States,60,5.96 million,2021,,Managing Director,frank@pruittdigital.com,+13556857008,linkedin.com/company/pruittdigital,trade_assoc
Silverline Waste,silverlinewaste.com,Waste Management,Indianapolis,United States,31,,1972,Kevin Whitfield,VP Operations,info@silverlinewaste.com,(589) 929-9332,,directory_q3
Stanek Landscaping Inc.,http://staneklandscaping.com,Landscaping,Dallas,United States,60,$13.1M,1972,Dennis Stanek,Founder,dstanek@staneklandscaping.com,(602) 511-8272,linkedin.com/company/staneklandscaping,directory_q3
Tucson Accounting Partners Ltd,www.tucsonaccounting.com,Accounting Services,Tucson,United States,340,45.58 million,2004,,,lvasquez@tucsonaccounting.com,+12232997062,,trade_assoc
Kellerman Auto Inc.,kellermanauto.com,Auto Repair,Charlotte,United States,12,"2,859,516",2013,Miguel Kellerman,President,mkellerman@kellermanauto.com,,linkedin.com/company/kellermanauto,chamber_export
Whitfield & Okonkwo Co.,https://www.whitfieldokonkwo.com,Third Party Logistics,Columbus,United States,55-65,$5.5M,2013,Miguel Whitfield,President,mwhitfield@whitfieldokonkwo.com,(971) 934-2303,linkedin.com/company/whitfieldokonkwo,directory_q3
Ironwood Precision,www.ironwoodprecision.com,Precision Machining,Manchester,United Kingdom,18,3269214,2009,Susan Vasquez,Operations Manager,svasquez@ironwoodprecision.com,,,directory_q3
Vasquez Veterinary LLC,vasquezveterinary.com,Veterinary Services,Raleigh,United States,12,$2.7M,2001,Nancy Ferraro,Managing Director,info@vasquezveterinary.com,+18288288128,,chamber_export
Ironwood Plumbing Inc.,https://www.ironwoodplumbing.com,Plumbing,Columbus,United States,60 employees,11.21 million,2009,Raymond Ivers,President,info@ironwoodplumbing.com,(264) 556-9349,linkedin.com/company/ironwoodplumbing,directory_q3
Nashville Metal Partners Inc.,https://www.nashvillemetal.com,Metal Fabrication,Nashville,United States,8 employees,"$1,024,848",,Kevin Coyle,Office Manager,kcoyle@nashvillemetal.com,(362) 651-9371,,directory_q3
Whitfield & Delgado Ltd,http://whitfielddelgado.com,Event Planning,Portland,United States,60 employees,"$14,241,360",2001,Kevin Whitfield,Founder,kwhitfield@whitfielddelgado.com,,,chamber_export
Coyle & Ferraro LLC,https://www.coyleferraro.com,Commercial Janitorial,Columbus,United States,115-125,"22,724,400",,Kevin Ashworth,Owner,info@coyleferraro.com,+16793499961,,chamber_export
Raleigh Digital & Sons LLC,raleighdigital.com,Digital Marketing Agency,Raleigh,United States,22,$2.7M,2013,,Office Manager,ndelgado@raleighdigital.com,,,trade_assoc
Phoenix Precision Works Co.,phoenixprecision.com,Precision Machining,Phoenix,United States,120,11.57 million,2013,Nancy Vasquez,Owner,nvasquez@phoenixprecision.com,(712) 541-7338,,chamber_export
Dallas Electrical Industries,dallaselectrical.com,Electrical Contracting,Dallas,United States,45 employees,9.16 million,2001,David Castellanos,Owner,dcastellanos@dallaselectrical.com,,,trade_assoc
Riverside Plumbing Co.,www.riversideplumbing.com,Plumbing,Columbus,United States,85,$10.7M,,,Founder,,(640) 432-1696,linkedin.com/company/riversideplumbing,trade_assoc
GRANITE THIRD,,Third Party Logistics,Cleveland,United States,,,,Susan Okonkwo,Office Manager,,(425) 467-7161,,chamber_export
Marchetti Accounting LLC,https://www.marchettiaccounting.com,Accounting Services,Tucson,United States,26-36,5.76 million,2017,,Operations Manager,maria.marchetti@gmail.com,,,chamber_export
Marchetti Digital Ltd,www.marchettidigital.com,Digital Marketing Agency,Tampa,United States,,"794,984",1991,Thomas Marchetti,Founder,thomas@marchettidigital.com,(588) 344-2887,,trade_assoc
Columbus Software Partners LLC,www.columbussoftware.com,Software Consulting,Columbus,United States,,"4,443,013",2004,,,,+15070850257,,directory_q3
Blue Ridge Accounting Ltd,https://www.blueridge.com,Accounting Services,Phoenix,United States,85 employees,"$19,110,380",1972,,Managing Director,,,,chamber_export
Ivers Waste Inc,iverswaste.com,Waste Management,Portland,United States,115-125,$21.9M,1984,Carol Ivers,Managing Director,info@iverswaste.com,+17723415556,linkedin.com/company/iverswaste,chamber_export
Granite Digital LLC,granitedigital.com,Digital Marketing Agency,Orlando,United States,18 employees,"2,410,110",2017,Miguel Whitfield,Managing Director,mwhitfield@granitedigital.com,+14523067570,,trade_assoc
Halloran & Ivers LLC,halloranivers.com,Digital Marketing Agency,Manchester,United Kingdom,340,$67.6M,2021,,,sharon@halloranivers.com,+18805017714,,chamber_export
Delgado & Barrett Inc,https://www.delgadobarrett.com,Third Party Logistics,Orlando,United States,40-50,"$10,072,260",2009,Gloria Okonkwo,President,gloria@delgadobarrett.com,,,directory_q3
Ivers & Nakamura,www.iversnakamura.com,Real Estate Brokerage,Tucson,United States,26,,,Raymond Ivers,Operations Manager,raymond@iversnakamura.com,(278) 893-5583,,trade_assoc
Delgado & Vasquez Ltd,https://www.delgadovasquez.com,Software Consulting,Tucson,United States,13-23,3.99 million,1996,,General Manager,walter@delgadovasquez.com,(768) 298-9516,,directory_q3
Riverside Software,https://www.riversidesoftware.com,Software Consulting,Columbus,United States,,,,James Vasquez,President,,(231) 755-5597,,chamber_export
Delgado & Barrett LLC,delgadobarrett.com,Electrical Contracting,Austin,United States,22,,1991,Susan Delgado,Managing Director,sdelgado@delgadobarrett.com,,linkedin.com/company/delgadobarrett,chamber_export
Delgado & Ashworth Inc,www.delgadoashworth.com,Staffing & Recruiting,Charlotte,United States,26-36,,1972,,General Manager,info@delgadoashworth.com,+12058624452,linkedin.com/company/delgadoashworth,chamber_export
Vasquez & Whitfield Inc.,vasquezwhitfield.com,Electrical Contracting,Tucson,United States,18 employees,"$3,740,796",2004,Frank Vasquez,General Manager,fvasquez@vasquezwhitfield.com,(749) 589-3181,,trade_assoc
Barrett & Whitfield Ltd,http://barrettwhitfield.com,HVAC,Charlotte,United States,18,1.63 million,,Hector Barrett,Office Manager,hector.barrett@gmail.com,(238) 619-7678,linkedin.com/company/barrettwhitfield,directory_q3
Nakamura Pest Ltd,www.nakamurapest.com,Pest Control,Houston,United States,60,"9,704,400",,Susan Ivers,Operations Manager,info@nakamurapest.com,+17236664086,,directory_q3
Ivers & Renner Inc.,https://www.iversrenner.com,Electrical Contracting,Milwaukee,United States,85 employees,20.19 million,2001,,Managing Director,info@iversrenner.com,(962) 232-1686,,directory_q3
